town,lat,lon,nearest_airport,distance_km,category
Pretoria,-25.7069,28.2294,O.R. Tambo International,47.8,major
Atteridgeville,-25.7728,28.0678,O.R. Tambo International,44.0,major
Glenstantia,-25.7069,28.2294,O.R. Tambo International,47.8,major
Centurion,-25.7069,28.2294,O.R. Tambo International,47.8,major
Doornpoort,-25.6333,28.2667,O.R. Tambo International,56.0,regional
Eersterus,-25.7236,28.3194,O.R. Tambo International,46.6,major
Philip Nel Park,-25.7069,28.2294,O.R. Tambo International,47.8,major
Derdepoortpark,-25.7069,28.2294,O.R. Tambo International,47.8,major
Laudium,-25.7833,28.1,O.R. Tambo International,41.7,major
Menlo Park,-25.7711,28.3078,O.R. Tambo International,41.2,major
Garsfontein,-25.8008,28.2956,O.R. Tambo International,37.7,major
Faerie Glen,-30.85,30.3333,King Shaka International,156.8,regional
Moreletapark,-25.7069,28.2294,O.R. Tambo International,47.8,major
Wapadrand,-25.7069,28.2294,O.R. Tambo International,47.8,major
Lyttelton,-25.8333,28.2167,O.R. Tambo International,33.8,major
Pretoria North,-25.6622,28.1653,O.R. Tambo International,53.3,regional
Hercules,-25.7167,28.1833,O.R. Tambo International,47.1,major
Pretoria West,-25.75,28.1667,O.R. Tambo International,43.6,major
Kromdraai,-25.4833,28.2667,O.R. Tambo International,72.7,regional
Hatfield,-25.7467,28.2231,O.R. Tambo International,43.4,major
Moot,-25.7069,28.2294,O.R. Tambo International,47.8,major
Wierdapark,-25.7069,28.2294,O.R. Tambo International,47.8,major
Mamelodi,-25.7072,28.3472,O.R. Tambo International,48.9,major
Karenpark,-25.7069,28.2294,O.R. Tambo International,47.8,major
Pyramid,-25.5814,28.2319,O.R. Tambo International,61.8,regional
Waterkloof,-25.7069,28.2294,O.R. Tambo International,47.8,major
Magalieskruin,-25.7069,28.2294,O.R. Tambo International,47.8,major
Soshanguve,-25.7069,28.2294,O.R. Tambo International,47.8,major
Wingate Park,-25.8333,28.25,O.R. Tambo International,33.7,major
Rooihuiskraal,-25.9,28.1,O.R. Tambo International,29.9,major
Theresapark,-25.7069,28.2294,O.R. Tambo International,47.8,major
Ninapark,-25.7069,28.2294,O.R. Tambo International,47.8,major
Highveld,-25.8049,28.2056,O.R. Tambo International,37.1,major
The Reeds,-25.8049,28.2056,O.R. Tambo International,37.1,major
Montanapark,-25.7069,28.2294,O.R. Tambo International,47.8,major
Denneboom,-25.7181,28.3342,O.R. Tambo International,47.5,major
Silverton,-25.7317,28.3347,O.R. Tambo International,46.0,major
Pretoria-Noord,-25.6622,28.1653,O.R. Tambo International,53.3,regional
Rosslyn,-25.6771,28.1867,O.R. Tambo International,51.4,regional
Boordfontein West,-25.6771,28.1867,O.R. Tambo International,51.4,regional
Boordfontein-Wes,-25.6771,28.1867,O.R. Tambo International,51.4,regional
Boordfontein,-25.6771,28.1867,O.R. Tambo International,51.4,regional
Pretoria-Wes,-25.75,28.1667,O.R. Tambo International,43.6,major
Valhalla,-25.8117,28.1503,O.R. Tambo International,37.3,major
Lynn East,-25.7069,28.2294,O.R. Tambo International,47.8,major
Voortrekkerhoogte,-25.8,28.1167,O.R. Tambo International,39.4,major
Brits,-25.6333,27.7833,O.R. Tambo International,72.3,regional
Medunsa,-25.6189,28.0228,O.R. Tambo International,61.6,regional
Mabopane,-25.5072,28.1075,O.R. Tambo International,71.3,regional
Mogwase,-25.2667,27.2333,O.R. Tambo International,139.8,regional
Rustenburg,-25.6667,27.25,O.R. Tambo International,112.1,regional
Ga-Rankuwa,-25.5883,28.0078,O.R. Tambo International,65.3,regional
Hartbeespoort,-25.7333,27.85,O.R. Tambo International,59.5,regional
Letlhabile,-25.6333,27.7833,O.R. Tambo International,72.3,regional
Marikana,-25.613,27.8843,O.R. Tambo International,68.3,regional
Rustenberg,-25.613,27.8843,O.R. Tambo International,68.3,regional
Boitekong,-25.6667,27.25,O.R. Tambo International,112.1,regional
Saulspoort,-24.9333,27.15,O.R. Tambo International,172.9,regional
Thabazimbi,-24.6,27.4,O.R. Tambo International,190.6,regional
Koster,-25.8667,26.9,O.R. Tambo International,137.3,regional
Swartklip,-24.9333,27.15,O.R. Tambo International,172.9,regional
Mafikeng,-25.8667,25.65,O.R. Tambo International,260.7,regional
Chromite,-24.6,27.4,O.R. Tambo International,190.6,regional
Podiphatshwa,-24.6,27.4,O.R. Tambo International,190.6,regional
Regorogile,-24.6,27.4,O.R. Tambo International,190.6,regional
Hammanskraal,-25.4075,28.2856,O.R. Tambo International,81.2,regional
Rust De Winter,-25.1986,28.6092,O.R. Tambo International,110.6,regional
Warmbaths,-24.8833,28.2833,O.R. Tambo International,139.4,regional
Temba,-25.365,28.2189,O.R. Tambo International,85.8,regional
Mphe-Batho,-25.343,28.2204,O.R. Tambo International,88.3,regional
Mutlestad,-25.343,28.2204,O.R. Tambo International,88.3,regional
Rantebeng,-25.365,28.2189,O.R. Tambo International,85.8,regional
Swartbooistad,-25.2728,28.1683,O.R. Tambo International,96.3,regional
Thulwe,-25.2167,28.2167,O.R. Tambo International,102.3,regional
Settlers,-24.95,28.5333,O.R. Tambo International,135.2,regional
Skilpadfontein,-25.0167,28.8,O.R. Tambo International,136.6,regional
Bamokgoko,-25.1039,28.5219,O.R. Tambo International,118.2,regional
Nylstroom,-24.7,28.4,O.R. Tambo International,160.5,regional
Mbibane,-25.365,28.2189,O.R. Tambo International,85.8,regional
Marble Hall,-24.9667,29.3,O.R. Tambo International,168.0,regional
Xipame,-24.9667,29.3,O.R. Tambo International,168.0,regional
Dibasabophelo,-24.9667,29.3,O.R. Tambo International,168.0,regional
Empumalanga,-25.3167,31.1,O.R. Tambo International,300.5,regional
Siyabuswa,-25.1167,29.05,O.R. Tambo International,139.4,regional
Groblersdal,-25.15,29.3833,O.R. Tambo International,158.6,regional
Boleu,-25.15,29.3833,O.R. Tambo International,158.6,regional
Northern Provice,-24.8833,28.2833,O.R. Tambo International,139.4,regional
